topology,trait,pagel_lambda,LR,p_chi2_ref,p_perm,null_lambda_p95,q_BH
ML GTR+GAMMA (build_tree.py),cat_MC,0.013957086772388327,0.03128533587465654,0.42980265493368075,0.618,0.8796912924085897,0.811125
ML GTR+GAMMA (build_tree.py),total_out_degree,0.7404131203658376,6.75503965655281,0.004674163446529462,0.175,0.8531277326732986,0.7658
ML GTR+GAMMA (build_tree.py),participation,5.621513199737122e-06,-7.439147881882491e-05,1.0,0.708,0.8431026368377964,0.8726666666666667
ML GTR+GAMMA (build_tree.py),PC1_12D,0.8758982062226807,7.215681247729009,0.003613468999260367,0.2,0.9077974475986056,0.7658
ML GTR+GAMMA (build_tree.py),PC2_12D,5.9608609865491405e-06,-0.0001130792554420168,1.0,0.748,0.8569514275066882,0.8726666666666667
ML GTR+GAMMA (build_tree.py),PC3_12D,0.6507364909023392,3.653536621652904,0.027975142871687435,0.295,0.8412851950043977,0.7658
UPGMA (16S distances),outdeg_CCAM,5.9608609865491405e-06,-0.0002763398445893017,1.0,0.926,0.15077637404209424,0.926
UPGMA (16S distances),outdeg_CCVM,5.9608609865491405e-06,-0.0001760013256273396,1.0,0.355,0.1454087469321193,0.7333846153846154
UPGMA (16S distances),outdeg_CMP,5.9608609865491405e-06,-0.00023618242877887496,1.0,0.67,0.1417128596742577,0.7840000000000001
UPGMA (16S distances),outdeg_CS,4.428557109373822e-06,-7.652244963196608e-05,1.0,0.142,0.13569416844146642,0.5963999999999999
UPGMA (16S distances),outdeg_IG,5.9608609865491405e-06,-3.839039126773969e-05,1.0,0.09,0.18212159981309742,0.47250000000000003
UPGMA (16S distances),outdeg_IC,0.06647341419116357,0.21563181173263501,0.32119430375301694,0.079,0.4216068755977203,0.47250000000000003
UPGMA (16S distances),outdeg_RP,5.9608609865491405e-06,-0.00019116162653176616,1.0,0.454,0.2009732182029376,0.7333846153846154
UPGMA (16S distances),outdeg_IRP,5.9608609865491405e-06,-0.00023874906085552539,1.0,0.672,0.612938085202943,0.7840000000000001
UPGMA (16S distances),outdeg_IAC_RAC,5.9608609865491405e-06,-0.00027719349171206886,1.0,0.913,0.16712413514873484,0.926
UPGMA (16S distances),outdeg_IAC_RDE,5.9608609865491405e-06,-0.00018533775514129047,1.0,0.37,0.35271304846869056,0.7333846153846154
UPGMA (16S distances),outdeg_IRAC,5.9608609865491405e-06,-0.00021940502196571288,1.0,0.589,0.15149095161975448,0.7840000000000001
UPGMA (16S distances),outdeg_RAC,5.9608609865491405e-06,-0.00011333540899727268,1.0,0.19,0.12581055696046078,0.665
UPGMA (16S distances),cat_DA,0.05741304802569911,0.12104126275278304,0.3639539443413057,0.061,0.1570699073195898,0.47250000000000003
UPGMA (16S distances),cat_IA,5.9608609865491405e-06,-0.00018463386001599247,1.0,0.395,0.15380797007725022,0.7333846153846154
UPGMA (16S distances),cat_MM,5.9608609865491405e-06,-0.00023050994590789742,1.0,0.659,0.41319739611996037,0.7840000000000001
UPGMA (16S distances),cat_MC,5.9608609865491405e-06,-0.00020937757400929513,1.0,0.503,0.20599346213400224,0.7545000000000001
UPGMA (16S distances),total_out_degree,5.9608609865491405e-06,-0.00013375188459008314,1.0,0.231,0.19046500789782086,0.6930000000000001
UPGMA (16S distances),participation,5.9608609865491405e-06,-0.00025906053045332555,1.0,0.829,0.15584673540112795,0.9162631578947368
UPGMA (16S distances),PC1_12D,5.9608609865491405e-06,-0.00019300753453421748,1.0,0.435,0.17143257188889036,0.7333846153846154
UPGMA (16S distances),PC2_12D,0.09785780034415552,0.14028318813996066,0.3539998235715567,0.066,0.1582027762883173,0.47250000000000003
UPGMA (16S distances),PC3_12D,5.9608609865491405e-06,-0.00019167062569636073,1.0,0.432,0.15513442856106557,0.7333846153846154
WPGMA (16S distances),outdeg_CCAM,5.9608609865491405e-06,-0.00027375926305239773,1.0,0.914,0.11270512023736728,0.914
WPGMA (16S distances),outdeg_CCVM,5.9608609865491405e-06,-0.00014614086848041552,1.0,0.299,0.19198671849489982,0.6545000000000001
WPGMA (16S distances),outdeg_CMP,5.9608609865491405e-06,-0.00023182085436701527,1.0,0.669,0.13199585090598523,0.7805000000000001
WPGMA (16S distances),outdeg_CS,3.37414885744058e-06,-5.745244641275349e-05,1.0,0.113,0.09402115753511837,0.4746
WPGMA (16S distances),outdeg_IG,5.9608609865491405e-06,-2.9368270020313503e-05,1.0,0.095,0.14797507108007968,0.4746
WPGMA (16S distances),outdeg_IC,0.06098156284283557,0.23668412353777057,0.31330567023046574,0.086,0.2746185555352187,0.4746
WPGMA (16S distances),outdeg_RP,5.9608609865491405e-06,-0.00018961662777883248,1.0,0.475,0.26617371077046736,0.7125
WPGMA (16S distances),outdeg_IRP,5.9608609865491405e-06,-0.00021370694315692162,1.0,0.562,0.5778300472813075,0.7665
WPGMA (16S distances),outdeg_IAC_RAC,5.9608609865491405e-06,-0.0002674952554571064,1.0,0.882,0.13116615800975076,0.914
WPGMA (16S distances),outdeg_IAC_RDE,5.9608609865491405e-06,-0.00015465278056581155,1.0,0.322,0.2119572656824241,0.6545000000000001
WPGMA (16S distances),outdeg_IRAC,5.9608609865491405e-06,-0.00021848589392448048,1.0,0.584,0.12230217337665915,0.7665
WPGMA (16S distances),outdeg_RAC,5.9608609865491405e-06,-0.00011262278962931305,1.0,0.196,0.16768680451159915,0.654
WPGMA (16S distances),cat_DA,0.058472255072185876,0.2021055657464217,0.3265133175441479,0.065,0.18564324371117008,0.4746
WPGMA (16S distances),cat_IA,5.9608609865491405e-06,-0.000165464942995186,1.0,0.323,0.1294460934584111,0.6545000000000001
WPGMA (16S distances),cat_MM,5.9608609865491405e-06,-0.00022350249696501123,1.0,0.648,0.29217366854258725,0.7805000000000001
WPGMA (16S distances),cat_MC,5.9608609865491405e-06,-0.00019692401707516183,1.0,0.47,0.13714317771836643,0.7125
WPGMA (16S distances),total_out_degree,5.9608609865491405e-06,-0.00011418926118267336,1.0,0.218,0.1694350274039444,0.654
WPGMA (16S distances),participation,5.9608609865491405e-06,-0.00026075193210317593,1.0,0.848,0.14098486129111712,0.914
WPGMA (16S distances),PC1_12D,5.9608609865491405e-06,-0.00017043443142483738,1.0,0.374,0.24997216504404224,0.6545000000000001
WPGMA (16S distances),PC2_12D,0.07420294805681141,0.029838356702555302,0.43142875472677933,0.086,0.15878543473560222,0.4746
WPGMA (16S distances),PC3_12D,5.9608609865491405e-06,-0.00016771030220752436,1.0,0.363,0.1912346544117779,0.6545000000000001
